date,code,close,open,high,low,volume,amount,turnover
2016/1/28,CI005007.CI,3331.108,"3,331.11","3,331.11","3,331.11","1,087.83",103.2791,0.758
2016/1/28,CI005008.CI,4360.7371,"4,360.74","4,360.74","4,360.74",972.392,111.8627,2.2948
2016/1/28,CI005009.CI,3310.4606,"3,310.46","3,310.46","3,310.46",686.1045,78.7724,2.0707
2016/1/28,CI005010.CI,5343.7115,"5,343.71","5,343.71","5,343.71","2,341.03",299.4097,1.6186
2016/1/28,CI005011.CI,5279.5836,"5,279.58","5,279.58","5,279.58","1,296.37",153.9193,1.5443
2016/1/28,CI005012.CI,6987.5515,"6,987.55","6,987.55","6,987.55",722.496,124.9064,1.7018
2016/1/28,CI005013.CI,5437.5328,"5,437.53","5,437.53","5,437.53","1,100.24",140.0714,1.2054
2016/1/28,CI005014.CI,4900.7373,"4,900.74","4,900.74","4,900.74","1,005.60",113.555,1.6464
2016/1/28,CI005015.CI,6861.5812,"6,861.58","6,861.58","6,861.58",187.1127,28.8667,1.5786
2016/1/28,CI005016.CI,6413.4813,"6,413.48","6,413.48","6,413.48",688.6639,79.9249,1.6029
2016/1/28,CI005017.CI,3931.0417,"3,931.04","3,931.04","3,931.04",597.0355,76.1997,1.6477
2016/1/28,CI005018.CI,7944.527,"7,944.53","7,944.53","7,944.53","1,561.28",268.8983,1.6324
2016/1/28,CI005019.CI,6409.1983,"6,409.20","6,409.20","6,409.20",627.0205,83.1419,1.3132
2016/1/28,CI005020.CI,4742.9585,"4,742.96","4,742.96","4,742.96",916.4066,94.9735,2.236
2016/1/28,CI005021.CI,5097.4281,"5,097.43","5,097.43","5,097.43",992.6253,64.7985,0.0972
2016/1/28,CI005022.CI,6213.7407,"6,213.74","6,213.74","6,213.74","1,540.98",200.3906,1.1048
2016/1/28,CI005023.CI,6145.6388,"6,145.64","6,145.64","6,145.64","2,347.04",227.5062,1.4636
2016/1/28,CI005024.CI,1800.9352,"1,800.94","1,800.94","1,800.94","1,292.52",106.5211,0.7065
2016/1/28,CI005025.CI,4022.6172,"4,022.62","4,022.62","4,022.62","2,138.64",266.2921,2.2362
2016/1/28,CI005026.CI,4072.6844,"4,072.68","4,072.68","4,072.68",896.2567,132.374,1.635
2016/1/28,CI005027.CI,5573.0492,"5,573.05","5,573.05","5,573.05","1,250.09",292.6942,2.8966
2016/1/28,CI005028.CI,4602.3697,"4,602.37","4,602.37","4,602.37",947.0301,190.1277,2.2445
2016/1/28,CI005029.CI,4770.9577,"4,770.96","4,770.96","4,770.96",705.4389,65.9142,3.2807
2016/1/28,CI005030.CI,1808.3716,"1,808.37","1,808.37","1,808.37",0,0,0
2016/1/29,CI005001.CI,1886.5708,"1,886.57","1,886.57","1,886.57",677.3483,50.2561,0.2347
2016/1/29,CI005002.CI,1447.1142,"1,447.11","1,447.11","1,447.11",786.2387,48.3696,1.0569
2016/1/29,CI005003.CI,3751.3988,"3,751.40","3,751.40","3,751.40","1,457.78",143.3657,1.3228
2016/1/29,CI005004.CI,2608.399,"2,608.40","2,608.40","2,608.40","1,517.99",132.2678,0.8952
2016/1/29,CI005005.CI,1260.2336,"1,260.23","1,260.23","1,260.23","1,732.93",77.4754,1.329
2016/1/29,CI005006.CI,4308.4035,"4,308.40","4,308.40","4,308.40","2,040.55",239.2821,2.0351
2016/1/29,CI005007.CI,3485.8407,"3,485.84","3,485.84","3,485.84","1,252.56",113.7333,0.872
2016/1/29,CI005008.CI,4537.7499,"4,537.75","4,537.75","4,537.75","1,097.03",121.2566,2.6013
2016/1/29,CI005009.CI,3438.2189,"3,438.22","3,438.22","3,438.22",806.6104,89.9171,2.3913
2016/1/29,CI005010.CI,5571.241,"5,571.24","5,571.24","5,571.24","2,286.43",282.1561,1.5877
2016/1/29,CI005011.CI,5522.1997,"5,522.20","5,522.20","5,522.20","1,428.94",163.3171,1.7246
2016/1/29,CI005012.CI,7198.7647,"7,198.76","7,198.76","7,198.76",768.8963,124.9573,1.8112
2016/1/29,CI005013.CI,5666.032,"5,666.03","5,666.03","5,666.03","1,245.16",156.6635,1.366
2016/1/29,CI005014.CI,5052.0657,"5,052.07","5,052.07","5,052.07","1,012.59",112.1479,1.6701
2016/1/29,CI005015.CI,7189.6043,"7,189.60","7,189.60","7,189.60",190.6719,30.3838,1.606
2016/1/29,CI005016.CI,6611.9977,"6,612.00","6,612.00","6,612.00",713.3741,83.8289,1.6551
2016/1/29,CI005017.CI,4095.2649,"4,095.26","4,095.26","4,095.26",645.1774,81.1031,1.7919
2016/1/29,CI005018.CI,8244.5555,"8,244.56","8,244.56","8,244.56","1,589.63",279.5001,1.659
2016/1/29,CI005019.CI,6635.2116,"6,635.21","6,635.21","6,635.21",677.8061,89.6261,1.4198
2016/1/29,CI005020.CI,4881.9218,"4,881.92","4,881.92","4,881.92","1,042.43",108.776,2.5355
2016/1/29,CI005021.CI,5200.0572,"5,200.06","5,200.06","5,200.06","1,362.31",87.6938,0.1334
2016/1/29,CI005022.CI,6516.8979,"6,516.90","6,516.90","6,516.90","2,015.69",268.0344,1.4451
2016/1/29,CI005023.CI,6414.1788,"6,414.18","6,414.18","6,414.18","2,488.77",241.6353,1.558
2016/1/29,CI005024.CI,1875.1115,"1,875.11","1,875.11","1,875.11","1,480.73",121.6543,0.8096
2016/1/29,CI005025.CI,4202.8161,"4,202.82","4,202.82","4,202.82","2,235.67",286.4286,2.3279
2016/1/29,CI005026.CI,4265.1474,"4,265.15","4,265.15","4,265.15",950.1232,139.2803,1.7682
2016/1/29,CI005027.CI,5909.2723,"5,909.27","5,909.27","5,909.27","1,426.28",330.2251,3.3901
2016/1/29,CI005028.CI,4794.1942,"4,794.19","4,794.19","4,794.19",977.0587,202.939,2.2968
2016/1/29,CI005029.CI,5008.95,"5,008.95","5,008.95","5,008.95",688.4781,67.0902,3.2046
2016/1/29,CI005030.CI,1808.3716,"1,808.37","1,808.37","1,808.37",0,0,0
2016/2/1,CI005001.CI,1845.7751,"1,845.78","1,845.78","1,845.78",531.8431,39.5921,0.1872
2016/2/1,CI005002.CI,1381.3279,"1,381.33","1,381.33","1,381.33",893.7499,52.403,1.2018
2016/2/1,CI005003.CI,3700.8233,"3,700.82","3,700.82","3,700.82","1,261.78",140.8806,1.1763
2016/2/1,CI005004.CI,2576.5971,"2,576.60","2,576.60","2,576.60","1,208.66",109.9326,0.7236
2016/2/1,CI005005.CI,1211.3266,"1,211.33","1,211.33","1,211.33","1,425.67",62.7437,1.1139
2016/2/1,CI005006.CI,4251.8185,"4,251.82","4,251.82","4,251.82","1,926.70",231.5529,1.9012
2016/2/1,CI005007.CI,3401.988,"3,401.99","3,401.99","3,401.99",980.6291,89.9448,0.6831
2016/2/1,CI005008.CI,4445.7571,"4,445.76","4,445.76","4,445.76",917.1809,101.6322,2.1797
2016/2/1,CI005009.CI,3392.9477,"3,392.95","3,392.95","3,392.95",696.1328,77.7208,2.0624
2016/2/1,CI005010.CI,5462.5146,"5,462.51","5,462.51","5,462.51","1,937.60",254.8098,1.3435
2016/2/1,CI005011.CI,5436.6557,"5,436.66","5,436.66","5,436.66","1,159.20",136.2626,1.3845
2016/2/1,CI005012.CI,6977.8895,"6,977.89","6,977.89","6,977.89",645.5615,100.7197,1.5207
2016/2/1,CI005013.CI,5582.6743,"5,582.67","5,582.67","5,582.67","1,124.29",142.1801,1.2257
2016/2/1,CI005014.CI,4975.7623,"4,975.76","4,975.76","4,975.76",910.4935,115.5859,1.4954
2016/2/1,CI005015.CI,7267.9213,"7,267.92","7,267.92","7,267.92",197.6828,31.5961,1.7034
