,CI005001.CI,CI005002.CI,CI005003.CI,CI005004.CI,CI005005.CI,CI005006.CI,CI005007.CI,CI005008.CI,CI005009.CI,CI005010.CI,CI005011.CI,CI005012.CI,CI005013.CI,CI005014.CI,CI005015.CI,CI005016.CI,CI005017.CI,CI005018.CI,CI005019.CI,CI005020.CI,CI005021.CI,CI005022.CI,CI005023.CI,CI005024.CI,CI005025.CI,CI005026.CI,CI005027.CI,CI005028.CI,CI005029.CI,CI005030.CI
date,石油石化,煤炭,有色金属,电力及公用事业,钢铁,基础化工,建筑,建材,轻工制造,机械,电力设备及新能源,国防军工,汽车,商贸零售,消费者服务,家电,纺织服装,医药,食品饮料,农林牧渔,银行,非银行金融,房地产,交通运输,电子,通信,计算机,传媒,综合,综合金融
2021-02-26,0.9169,0.4698,1.9092,1.6843,2.5228,2.6510,0.9576,5.2211,2.9955,3.9127,3.3906,1.0320,2.9140,1.2850,7.4819,9.6516,0.5908,4.1353,5.1720,2.0658,1.9917,2.5858,2.3539,2.3262,2.7752,1.9416,2.6802,2.6296,0.6319,0.9365
2021-03-31,0.8898,0.5237,1.7211,1.5846,2.6805,2.6772,1.0070,5.4304,2.7788,3.7890,3.3565,1.0275,2.1062,1.1469,7.2945,9.3530,0.7692,4.1042,5.0585,1.9094,2.1112,2.5677,2.1944,2.3622,2.6374,1.9880,2.5228,2.3901,0.5875,0.8369
2021-04-30,0.8935,0.5906,1.8487,1.5447,3.0626,3.0198,0.9637,5.8065,2.9970,3.9185,3.6361,1.0208,2.5059,1.0888,7.2173,9.3695,0.9134,4.0792,4.9174,1.9900,2.2423,2.5547,2.1849,2.1402,2.9078,1.9826,2.7642,2.8255,0.5964,0.8768
2021-05-31,1.0239,0.6441,1.9744,1.5227,2.8923,3.1245,0.9760,6.2522,2.8234,3.6643,3.6663,1.1174,2.2968,1.1777,7.4378,9.5483,0.9515,4.0480,5.2162,1.9266,2.4368,2.5524,2.1228,2.1889,2.8066,2.0326,2.8385,2.7453,0.7415,0.8410
2021-06-30,1.0491,0.7755,1.8330,1.5690,2.9192,3.2290,1.0431,5.9840,2.8246,3.8907,3.8625,1.0523,2.2878,1.0187,7.3061,9.3554,1.0494,4.2464,5.0568,2.1764,2.4034,2.3955,2.0704,2.2216,2.9674,2.0507,2.9417,2.5710,1.0983,0.7619
2021-07-30,1.0530,0.8104,2.0445,1.5486,3.0850,3.1300,1.0860,5.8316,2.8345,3.8472,3.8212,0.8606,2.0937,1.0618,7.1811,9.2539,0.9949,4.1004,5.0497,2.1000,2.2026,2.3078,1.9160,2.2099,2.7958,2.1604,3.0605,2.4686,0.9912,0.6825
2021-08-31,1.0402,1.0185,1.9839,1.6241,3.2178,2.7068,1.2157,5.8260,2.7155,3.6379,3.8461,0.9041,2.0811,0.9228,6.8766,9.6767,0.9672,3.9827,4.6812,1.9259,2.2730,2.1798,1.9531,2.2909,2.8944,2.1305,3.0573,2.2381,0.9737,0.6489
2021-09-30,1.0819,1.1401,2.0561,1.6845,2.7256,2.8119,1.2254,5.6049,2.5396,3.5573,3.9188,0.7691,2.0742,0.9192,7.3014,9.8592,0.8173,4.2285,4.9182,1.9882,2.2338,2.0845,1.9965,2.3684,2.7970,1.9885,3.3298,2.2051,0.9695,0.9467
2021-10-29,1.0669,1.0440,2.1370,1.8408,2.5930,2.9157,1.1551,4.9268,2.5624,3.6559,4.1725,0.8128,2.1524,0.9257,7.3973,9.7033,0.7928,4.0486,5.0889,2.2148,2.3833,2.0540,1.6892,2.4782,2.8893,2.1186,3.4132,2.2631,0.9663,0.8220
2021-11-30,1.0243,1.0131,2.0775,1.7042,2.4804,2.8620,1.1149,4.4495,2.4086,3.4160,4.1459,0.9688,2.0260,0.9563,7.1651,9.2266,0.8023,3.8804,5.0217,2.2124,2.2195,1.8561,1.5569,2.2831,3.0178,2.2832,3.4332,2.2265,0.9164,0.8033
