ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
000089.SZ,20220930,6.72,0.7719,1.7939,0.86,,,1.2297,4.169,4.5261,0.0,0.4464,205076.9509,205074.2403,88244.6871,1378117.11,1378098.8948
000090.SZ,20220930,5.32,1.6019,2.6512,1.28,5.1417,5.1915,0.9959,0.4272,0.4179,7.1429,6.203,186854.5434,186834.6092,112888.1864,994066.1709,993960.1209
000096.SZ,20220930,7.7,0.2538,0.5524,0.68,60.0493,66.5957,1.5892,2.5101,2.1994,0.2597,9.0909,52800.0,51084.8,23472.9623,406560.0,393352.96
000099.SZ,20220930,6.92,0.5666,0.8452,0.65,21.7798,21.3939,1.1204,3.1941,3.073,0.8467,1.1561,77577.0137,71021.5136,47609.5662,536832.9348,491468.8741
000100.SZ,20220930,3.63,0.4766,0.5273,0.9,5.064,12.9363,1.3117,0.3114,0.2931,3.1917,4.025,1403064.2421,1341708.6931,1212540.7893,5093123.1988,4870402.556
000150.SZ,20220930,1.38,2.1587,3.773,0.86,,,,0.9077,1.0701,0.0,,87769.7557,80599.0242,46113.4058,121122.2629,111226.6534
000151.SZ,20220930,9.75,6.528,10.8464,1.27,412.5827,76.0781,3.6845,1.5231,1.0029,0.0,,33737.0728,26654.3967,16042.0467,328936.4598,259880.3678
000153.SZ,20220930,7.87,0.8657,1.1833,0.86,21.4364,17.6078,1.5512,0.7015,0.672,0.0,1.2706,31214.123,31197.723,22823.6605,245655.148,245526.08
000155.SZ,20220930,18.83,1.0058,1.6828,0.75,81.746,62.0985,5.5349,6.3048,7.2687,0.0,,147592.6818,129693.1295,77519.1213,2779170.1983,2442121.6285
000156.SZ,20220930,6.68,0.336,0.6323,0.58,13.6498,14.0074,0.8739,1.459,1.3751,2.5449,2.994,185293.2442,156505.5111,83162.8209,1237758.8713,1045456.8141
000157.SZ,20220930,5.54,0.1905,0.2623,0.81,7.6679,15.3328,0.874,0.7162,1.0456,5.773,5.7762,867799.2236,706872.6983,513321.0243,4807607.6987,3916074.7486
000158.SZ,20220930,5.46,0.4905,0.8095,0.69,66.6273,68.7724,1.4322,0.8021,0.7784,0.0,,159861.6721,158122.5904,95823.1412,872844.7297,863349.3436
000159.SZ,20220930,7.82,1.6302,2.1123,0.64,135.8858,13.604,1.4827,3.3587,3.1911,0.2558,,48068.5993,48068.5993,37097.7105,375896.4465,375896.4465
000166.SZ,20220930,3.86,0.1477,0.3104,0.84,10.2841,11.7309,1.0075,2.8173,3.1132,2.5907,2.5907,2503994.456,2253550.7316,1072120.3457,9665418.6002,8698705.824
000301.SZ,20220930,17.42,0.6242,1.7426,0.81,23.8213,21.5082,3.502,2.0926,1.6332,0.4467,0.8241,621324.3761,483500.1326,173195.4358,10823470.6317,8422572.3099
000333.SZ,20220930,49.31,0.5192,0.7599,1.75,12.0766,11.6736,2.6613,1.0113,0.9857,3.2061,3.3831,699802.1902,684934.6924,468016.8211,34507245.9988,33774129.6822
000338.SZ,20220930,9.62,0.5575,0.5678,0.85,9.0712,16.1148,1.1742,0.4124,0.5122,4.3451,3.824,872655.6821,504871.5137,495735.9468,8394947.6618,4856863.9618
000400.SZ,20220930,16.65,1.2848,2.0827,0.79,23.1768,22.4021,1.7162,1.4001,1.2752,0.6006,0.6006,100832.7309,100826.984,62198.3386,1678864.9695,1678769.2836
000401.SZ,20220930,8.36,0.4609,0.7301,0.84,7.9078,8.1603,0.7329,0.6116,0.6028,3.1806,8.9713,265821.342,154729.857,97677.3255,2222266.4191,1293541.6045
000402.SZ,20220930,5.08,0.6639,0.9643,0.72,9.2426,6.9414,0.3974,0.6286,0.5185,5.9055,0.5906,298892.9907,298782.9036,205712.0883,1518376.3928,1517817.1503
