date,industry_code,hold_mv,config_ratio,float_ratio,hold_mv_change,hold_mv_yoy,config_ratio_yoy,float_ratio_yoy,period
2021-12-31,电子,,7.93,3.1275,,0.0,0.22755417956656343,0.08589979514600188,2021-12
2022-01-28,电子,,7.33,3.0243,,0.0,0.13996889580093308,0.04632576805978417,2022-01
2022-02-28,电子,,7.31,2.9707,,0.0,0.21630615640599005,0.0704453733064283,2022-02
2022-03-31,电子,,6.82,2.874,,0.0,0.21568627450980382,0.08970956244786543,2022-03
2022-04-29,电子,,6.28,2.8482,,0.0,-0.0015898251192368873,-0.020496595364192904,2022-04
2022-05-31,电子,,6.57,2.8995,,0.0,0.11925042589437829,0.03310054870662027,2022-05
2022-06-30,电子,,5.85,2.7749,,0.0,-0.15340086830680177,-0.06487160477185416,2022-06
2022-07-29,电子,,6.0,2.7022,,0.0,-0.20739762219286662,-0.03347878961299089,2022-07
2022-08-31,电子,,6.04,2.654,,0.0,-0.1634349030470914,-0.08305693753454957,2022-08
2022-09-30,电子,,5.57,2.5566,,0.0,-0.17481481481481476,-0.08594923131927068,2022-09
2022-10-31,电子,,6.35,2.5094,,0.0,-0.07837445573294632,-0.13148513480773893,2022-10
2022-11-30,电子,,5.84,2.514,,0.0,-0.26075949367088613,-0.1669428060176288,2022-11
2022-12-30,电子,999.89,5.1,2.2892,,0.4126331553219744,-0.3568726355611602,-0.2680415667466026,2022-12
2023-01-31,电子,,5.38,2.5242,,0.4126331553219744,-0.26603001364256484,-0.1653605793076084,2023-01
2023-02-28,电子,,5.33,2.3939,,0.4126331553219744,-0.27086183310533507,-0.1941629918874339,2023-02
2023-03-31,电子,,6.34,2.6544,,0.4126331553219744,-0.0703812316715543,-0.07640918580375788,2023-03
2023-04-28,电子,,5.67,2.4566,,0.4126331553219744,-0.09713375796178347,-0.13749034477915878,2023-04
2023-05-31,电子,,6.34,2.5487,,0.4126331553219744,-0.03500761035007616,-0.12098637696154513,2023-05
2023-06-30,电子,,6.38,2.6733,,0.4126331553219744,0.09059829059829072,-0.03661393203358687,2023-06
2023-07-31,电子,,5.84,2.6138,,0.4126331553219744,-0.026666666666666727,-0.032714084819776446,2023-07
2023-08-31,电子,,5.92,2.4332,,0.4126331553219744,-0.019867549668874163,-0.08319517709118318,2023-08
2023-09-28,电子,,5.95,2.3907,,0.4126331553219744,0.06822262118491929,-0.06489087068763211,2023-09
2023-10-31,电子,,6.85,2.466,,0.4126331553219744,0.07874015748031504,-0.01729497090938059,2023-10
2023-11-30,电子,,7.17,2.5567,,0.4126331553219744,0.22773972602739723,0.01698488464598258,2023-11
2023-12-29,电子,,7.56,2.6146,,0.0,0.48235294117647065,0.14214572776515788,2023-12
2024-01-31,电子,,6.74,2.6926,,0.0,0.2527881040892195,0.06671420648126136,2024-01
2024-02-29,电子,,7.2,2.8169,,0.0,0.3508442776735461,0.17669911023852292,2024-02
2024-03-29,电子,,7.31,2.9108,,0.0,0.15299684542586744,0.09659433393610617,2024-03
2024-04-30,电子,,7.2,2.9654,,0.0,0.26984126984127,0.20711552552308055,2024-04
2024-05-31,电子,,7.26,2.9928,,0.0,0.1451104100946372,0.17424569388315603,2024-05
2024-06-28,电子,,8.45,3.2232,,0.0,0.3244514106583072,0.20570081921220962,2024-06
2024-07-31,电子,,8.69,3.2045,,0.0,0.4880136986301369,0.2259928074068407,2024-07
2024-08-30,电子,,8.69,3.2045,,0.0,0.46790540540540526,0.3169899720532632,2024-08
2024-09-30,电子,,8.04,3.1343,,0.0,0.35126050420168053,0.31103860793909743,2024-09
2017-01-26,石油石化,17.88,1.62,0.0747,,,,,2017-01
2017-02-28,石油石化,16.46,1.28,0.071,-1.4199999999999982,,,,2017-02
2017-03-31,石油石化,16.63,1.17,0.0735,0.16999999999999815,,,,2017-03
2017-04-28,石油石化,16.95,1.1,0.076,0.3200000000000003,,,,2017-04
2017-05-31,石油石化,17.15,0.94,0.0756,0.1999999999999993,,,,2017-05
2017-06-30,石油石化,15.21,0.69,0.0684,-1.9399999999999977,,,,2017-06
2017-07-31,石油石化,17.65,0.74,0.0756,2.4399999999999977,,,,2017-07
2017-08-31,石油石化,17.73,0.67,0.0764,0.08000000000000185,,,,2017-08
2017-09-29,石油石化,18.47,0.64,0.0808,0.7399999999999984,,,,2017-09
2017-10-31,石油石化,18.42,0.55,0.0787,-0.04999999999999716,,,,2017-10
2017-11-30,石油石化,22.21,0.64,0.0947,3.789999999999999,,,,2017-11
2017-12-29,石油石化,24.55,0.66,0.1038,2.34,,,,2017-12
2018-01-31,石油石化,31.69,0.73,0.1191,7.140000000000001,0.772371364653244,-0.5493827160493827,0.5943775100401605,2018-01
2018-02-28,石油石化,28.16,0.69,0.1176,-3.530000000000001,0.7108140947752126,-0.4609375,0.6563380281690141,2018-02
2018-03-30,石油石化,24.22,0.61,0.1046,-3.9400000000000013,0.45640408899579077,-0.4786324786324786,0.4231292517006804,2018-03
2018-04-27,石油石化,29.54,0.73,0.1264,5.32,0.7427728613569322,-0.3363636363636364,0.6631578947368424,2018-04
2018-05-31,石油石化,40.2,0.83,0.1659,10.660000000000004,1.3440233236151609,-0.11702127659574468,1.1944444444444442,2018-05
2018-06-29,石油石化,41.33,0.86,0.182,1.1299999999999955,1.717291255752794,0.24637681159420288,1.660818713450292,2018-06
2018-07-31,石油石化,52.39,1.05,0.226,11.060000000000002,1.9682719546742211,0.4189189189189191,1.9894179894179893,2018-07
2018-08-31,石油石化,64.9,1.36,0.2729,12.510000000000005,2.6604624929498026,1.0298507462686568,2.5719895287958114,2018-08
2018-09-28,石油石化,82.99,1.62,0.315,18.08999999999999,3.4932322685435846,1.53125,2.8985148514851486,2018-09
2018-10-31,石油石化,63.8,1.51,0.2705,-19.189999999999998,2.463626492942453,1.7454545454545451,2.43710292249047,2018-10
2018-11-30,石油石化,63.14,1.37,0.2883,-0.6599999999999966,1.8428635749662314,1.140625,2.0443505807814146,2018-11
2018-12-28,石油石化,54.35,1.22,0.2679,-8.79,1.213849287169043,0.8484848484848484,1.5809248554913298,2018-12
2019-01-31,石油石化,73.95,1.37,0.3493,19.6,1.333543704638687,0.8767123287671235,1.9328295549958021,2019-01
2019-02-28,石油石化,86.05,1.27,0.3771,12.099999999999994,2.055752840909091,0.8405797101449277,2.2066326530612246,2019-02
