,沪深300,新华商品指数,债券指数,标普500,上证50,纳斯达克100,中证REITs
2024-01-24,3277.1089,2547.32,225.9844,4868.55,2260.5575,17499.3008,799.2913
2024-01-25,3342.9189,2549.94,226.1779,4894.16,2312.8544,17516.9902,807.5713
2024-01-26,3333.8213,2557.8,226.223,4890.97,2314.3741,17421.0098,808.7035
2024-01-29,3303.9604,2557.96,226.3798,4927.93,2304.4364,17596.2695,810.2369
2024-01-30,3245.0387,2527.64,227.056,4924.97,2270.9789,17476.7109,810.6616
2024-01-31,3215.3518,2518.66,227.4874,4845.65,2254.2994,17137.2402,807.806
2024-02-01,3217.7109,2507.19,227.4787,4906.19,2248.268,17344.7109,808.4074
2024-02-02,3179.6276,2483.15,227.4884,4958.61,2229.0142,17642.7305,808.1838
2024-02-04,,,227.8445,,,,
2024-02-05,3200.4218,2475.56,227.8703,4942.81,2255.2809,17613.0391,803.0047
2024-02-06,3311.6922,2477.55,227.1954,4954.23,2318.8418,17572.7305,804.9018
2024-02-07,3343.6303,2477.79,227.5094,4995.06,2344.1508,17755.0703,811.5849
2024-02-08,3364.9297,2504.05,227.3998,4997.91,2352.5775,17783.1699,829.5841
2024-02-09,,,227.4188,5026.61,,17962.4102,
2024-02-12,,,,5021.84,,17882.6602,
2024-02-13,,,,4953.17,,17600.4199,
2024-02-14,,,,5000.62,,17807.6309,
2024-02-15,,,,5029.73,,17845.7207,
2024-02-16,,,,5005.57,,17685.9805,
2024-02-18,,,227.5904,,,,
2024-02-19,3403.8078,2508.11,227.6724,,2371.5483,,861.3709
2024-02-20,3410.8542,2494.61,227.9403,4975.51,2369.0834,17546.0996,868.5477
2024-02-21,3456.8713,2502.37,227.9852,4981.8,2410.2278,17478.9102,874.5755
2024-02-22,3486.6747,2516.41,228.1474,5087.03,2433.0819,18004.6992,882.4217
2024-02-23,3489.7416,2518.02,228.4188,5088.8,2433.4073,17937.6094,899.3786
2024-02-26,3453.3585,2489.47,228.7156,5069.53,2393.5488,17933.3301,925.4439
2024-02-27,3494.7874,2521.86,228.934,5078.18,2405.0609,17971.0508,914.0039
2024-02-28,3450.2598,2518.84,229.1875,5069.76,2385.6099,17874.5,900.7458
2024-02-29,3516.0826,2524.89,229.5527,5096.27,2413.1361,18043.8496,907.1511
2024-03-01,3537.8038,2522.54,229.0357,5137.08,2414.8439,18302.9102,926.8587
2024-03-04,3540.8686,2538.89,229.285,5130.95,2418.584,18226.4805,942.6808
2024-03-05,3565.5143,2530.19,229.3603,5078.65,2446.4173,17897.8691,946.2328
2024-03-06,3551.0481,2533.64,230.0564,5104.76,2434.1156,18017.5703,936.971
2024-03-07,3529.7195,2547.01,230.0103,5157.36,2426.9732,18297.9902,928.4948
2024-03-08,3544.9099,2562.25,229.906,5123.69,2426.1679,18018.4492,926.1584
2024-03-11,3589.2635,2525.75,229.5808,5117.94,2443.1064,17951.6895,929.4128
2024-03-12,3597.4939,2537.25,228.7967,5175.27,2450.4693,18219.1094,927.1876
2024-03-13,3572.361,2529.81,228.8309,5165.31,2427.5969,18068.4707,921.1158
2024-03-14,3562.2229,2538.24,228.7906,5150.48,2423.8556,18014.8105,918.2028
2024-03-15,3569.993,2549.82,229.0339,5117.09,2427.1969,17808.25,919.8511
2024-03-18,3603.528,2558.1,229.4196,5149.42,2438.1911,17985.0098,918.9627
2024-03-19,3577.6303,2575.28,229.7288,5178.51,2416.8349,18032.1992,917.3214
2024-03-20,3585.3838,2577.47,229.5611,5224.62,2426.4586,18240.1094,911.9494
2024-03-21,3581.0902,2596.0,229.6002,5241.53,2427.101,18320.3809,905.3407
2024-03-22,3545.0023,2571.76,229.4993,5234.18,2403.2023,18339.4395,894.1991
2024-03-25,3525.7634,2564.27,229.3193,5218.19,2401.2113,18277.0605,890.7918
2024-03-26,3543.7467,2545.21,229.2931,5203.58,2413.7415,18210.5391,897.3774
2024-03-27,3502.7866,2524.23,229.6092,5248.49,2398.9372,18280.8398,913.9729
2024-03-28,3520.9648,2530.35,229.6709,5254.35,2401.9872,18254.6895,911.0737
2024-03-29,3537.4843,2534.39,229.9101,,2414.9202,,908.2167
2024-04-01,3595.6466,2554.22,229.6814,5243.77,2441.5668,18293.1992,909.585
2024-04-02,3580.6759,2558.69,229.8595,5205.81,2435.7569,18121.7793,908.8881
2024-04-03,3567.8031,2571.61,230.1145,5211.49,2430.169,18160.1895,915.923
2024-04-04,,,,5147.21,,17878.7793,
2024-04-05,,,,5204.34,,18108.4609,
2024-04-07,,,230.08,,,,
2024-04-08,3536.4077,2609.11,230.2947,5202.39,2414.091,18100.1895,919.8224
2024-04-09,3533.4871,2632.88,230.4547,5209.91,2404.6089,18169.9004,921.3423
2024-04-10,3504.7086,2640.16,230.2994,5160.64,2396.7427,18011.65,924.3226
2024-04-11,3504.2447,2648.37,230.2636,5199.06,2394.8667,18307.9805,928.8156
2024-04-12,3475.8389,2667.5,230.5201,5123.41,2374.0471,18003.4902,926.0902
2024-04-15,3549.0759,2665.21,230.6354,5061.82,2424.0168,17706.8301,921.1183
2024-04-16,3511.1146,2647.52,230.7081,5051.41,2412.3219,17713.6602,916.1395
2024-04-17,3565.403,2664.98,230.8937,5022.21,2439.8558,17493.6191,921.3564
2024-04-18,3569.8018,2668.91,231.1866,5011.12,2445.2049,17394.3105,922.6374
2024-04-19,3541.6619,2678.67,231.418,4967.23,2430.5819,17037.6504,921.2313
2024-04-22,3530.9045,2660.19,231.7051,5010.6,2424.7473,17210.8906,926.4985
2024-04-23,3506.2249,2641.47,232.0186,5070.55,2413.7392,17471.4707,930.3335
2024-04-24,3521.6219,2681.32,231.3662,5071.63,2424.119,17526.8008,933.1792
2024-04-25,3530.2813,2677.73,231.3356,5048.42,2431.6221,17430.5,942.9375
2024-04-26,3584.2686,2698.94,230.7645,5099.96,2461.8556,17718.3008,949.3062
2024-04-28,,,230.4642,,,,
2024-04-29,3623.9124,2686.38,230.0262,5116.17,2474.3397,17782.7207,945.2106
2024-04-30,3604.3943,2682.11,230.6464,5035.69,2464.2435,17440.6895,942.9346
2024-05-01,,,,5018.39,,17318.5508,
2024-05-02,,,,5064.2,,17541.5391,
2024-05-03,,,,5127.79,,17890.8008,
2024-05-06,3657.8767,2688.06,230.6651,5180.74,2495.7617,18093.5703,945.405
2024-05-07,3659.0076,2688.36,230.9787,5187.7,2499.7709,18091.4492,949.7523
2024-05-08,3630.2233,2658.42,230.9796,5187.67,2486.0186,18085.0098,947.3082
2024-05-09,3664.561,2659.64,230.7541,5214.08,2501.7305,18113.4609,948.8781
