date,nav,return
2021-05-28,3.312,-0.001808318264014508
2021-05-31,3.33,0.005434782608695787
2021-06-01,3.339,0.002702702702702675
2021-06-02,3.322,-0.005091344713986201
2021-06-03,3.303,-0.0057194461167972
2021-06-04,3.334,0.009385407205570795
2021-06-07,3.36,0.007798440311937549
2021-06-08,3.309,-0.015178571428571375
2021-06-09,3.299,-0.0030220610456331842
2021-06-10,3.32,0.006365565322825173
2021-06-11,3.272,-0.014457831325301207
2021-06-15,3.245,-0.00825183374083116
2021-06-16,3.217,-0.008628659476117129
2021-06-17,3.236,0.005906123717749567
2021-06-18,3.234,-0.0006180469715698633
2021-06-21,3.227,-0.0021645021645021467
2021-06-22,3.227,0.0
2021-06-23,3.22,-0.002169197396962974
2021-06-24,3.256,0.011180124223602261
2021-06-25,3.269,0.003992628992629088
2021-06-28,3.291,0.006729886815539876
2021-06-29,3.265,-0.007900334244910323
2021-06-30,3.287,0.006738131699846717
2021-07-01,3.261,-0.00790994828110736
2021-07-02,3.211,-0.015332720024532454
2021-07-05,3.174,-0.011522890065400193
2021-07-06,3.187,0.004095778197857669
2021-07-07,3.196,0.002823972387825613
2021-07-08,3.178,-0.005632040050062681
2021-07-09,3.174,-0.0012586532410321372
2021-07-12,3.228,0.017013232514177856
2021-07-13,3.256,0.008674101610904428
2021-07-14,3.273,0.0052211302211302435
2021-07-15,3.27,-0.0009165902841430373
2021-07-16,3.249,-0.00642201834862377
2021-07-19,3.266,0.00523237919359798
2021-07-20,3.276,0.0030618493570115923
2021-07-21,3.318,0.012820512820512997
2021-07-22,3.298,-0.006027727546714878
2021-07-23,3.262,-0.01091570648878104
2021-07-26,3.219,-0.013182096873084026
2021-07-27,3.141,-0.024231127679403497
2021-07-28,3.142,0.0003183699458770839
2021-07-29,3.17,0.008911521323997418
2021-07-30,3.225,0.01735015772870674
2021-08-02,3.286,0.01891472868217048
2021-08-03,3.287,0.000304321363359783
2021-08-04,3.353,0.020079099482811058
2021-08-05,3.362,0.002684163435729081
2021-08-06,3.361,-0.0002974419988102106
2021-08-09,3.407,0.013686402856292634
2021-08-10,3.455,0.014088641033167093
2021-08-11,3.499,0.012735166425470235
2021-08-12,3.459,-0.01143183766790512
2021-08-13,3.457,-0.0005782017924256255
2021-08-16,3.45,-0.0020248770610354905
2021-08-17,3.377,-0.02115942028985518
2021-08-18,3.383,0.0017767249037607957
2021-08-19,3.402,0.005616316878510164
2021-08-20,3.373,-0.008524397413286255
2021-08-23,3.449,0.022531870738215165
2021-08-24,3.488,0.011307625398666366
2021-08-25,3.537,0.014048165137614754
2021-08-26,3.479,-0.01639807746677968
2021-08-27,3.507,0.008048289738430636
2021-08-30,3.518,0.0031365839749071256
2021-08-31,3.559,0.011654349061967162
2021-09-01,3.567,0.002247822422028589
2021-09-02,3.585,0.005046257359125228
2021-09-03,3.561,-0.006694560669456062
2021-09-06,3.605,0.012356079752878335
2021-09-07,3.637,0.008876560332871097
2021-09-08,3.595,-0.011547979103656791
2021-09-09,3.59,-0.0013908205841447474
2021-09-10,3.598,0.0022284122562674646
2021-09-13,3.595,-0.0008337965536407976
2021-09-14,3.587,-0.0022253129346314626
2021-09-15,3.595,0.002230275996654596
2021-09-16,3.523,-0.02002781641168294
2021-09-17,3.508,-0.00425773488504122
2021-09-22,3.528,0.005701254275940704
