,850531.SL,STIP.P,000300.SH,HSI.HK,SPX.GI,N225.GI,BRN0Y.ICE,CU00.SHF,CBA02001.CB,CBA00603.CB,
,黄金,美国国债0-5年期债券,沪深300,恒生指数,标普500,日经225,布伦特原油连续,沪铜连续,中债企业债总指数(总值)财富指数,中债国债总指数(总值)全价指数,
2020-08-10,10100.39,83.516,4724.8697,24377.43,3360.47,--,44.96,50200,195.0648,121.8177,
2020-08-11,9615.38,83.5079,4681.7837,24890.68,3333.6899,22750.24,44.54,50280,195.1386,121.8539,
2020-08-12,9044.61,83.6573,4647.6446,25244.02,3380.3501,22843.96,45.32,49860,195.1784,121.767,
2020-08-13,9040.51,83.6452,4635.7126,25230.67,3373.4299,23249.61,45.12,50400,195.2516,121.8442,
2020-08-14,9127.91,83.6533,4704.6288,25183.01,3372.8501,23289.36,44.95,49970,195.3206,122.0033,
2020-08-17,9610.48,83.6937,4815.2261,25347.34,3381.99,23096.75,45.31,50690,195.4652,122.0619,
2020-08-18,10072.2,83.7744,4812.7564,25367.38,3389.78,23051.08,45.01,50830,195.5326,121.9147,
2020-08-19,10012.68,83.6856,4740.6784,25178.91,3374.8501,23110.61,45.21,52150,195.5306,121.7317,
2020-08-20,9713.1,83.6775,4679.1544,24791.39,3385.51,22880.62,44.85,51980,195.5158,121.5668,
2020-08-21,9564.14,83.7583,4718.8431,25113.84,3397.1599,22920.3,44.26,51720,195.5105,121.7308,
2020-08-24,9962.95,83.839,4755.8491,25551.58,3431.28,22985.51,45.05,51480,195.5241,121.5891,
2020-08-25,9759.49,83.8956,4761.9507,25486.22,3443.6201,23296.77,46.05,51090,195.4134,121.3055,
2020-08-26,9608.93,84.0248,4706.1302,25491.79,3478.73,23290.86,45.79,51380,195.3312,121.2638,
2020-08-27,9684.14,83.9844,4731.3451,25281.15,3484.55,23208.86,45.13,51430,195.25,121.1936,
2020-08-28,9848.21,84.1298,4844.2652,25422.06,3508.01,22882.65,45.08,51950,195.1725,121.0837,
2020-08-31,10231.3,84.1944,4816.2153,25177.05,3500.3101,23139.76,45.57,51980,195.1719,121.3934,
2020-09-01,10545.69,84.1459,4842.1223,25184.85,3526.6499,23138.07,45.77,52930,195.1973,121.2118,
2020-09-02,10233.39,84.0732,4843.887,25120.09,3580.8401,23247.15,44.39,52040,195.159,120.9316,
2020-09-03,10059.23,83.9279,4817.0952,25007.6,3455.0601,23465.53,44,51730,195.0919,120.8815,
2020-09-04,10046.17,83.9117,4770.219,24695.45,3426.96,23205.43,42.35,51700,195.0825,120.7769,
2020-09-07,9948.55,--,4669.3677,24589.65,--,23089.95,42.04,52190,195.0746,120.571,
2020-09-08,9796.1,83.9036,4694.3894,24624.34,3331.8401,23274.13,39.78,52520,195.0806,120.6779,
2020-09-09,9515.09,83.936,4584.5887,24468.93,3398.96,23032.54,40.62,51800,195.133,120.962,
2020-09-10,9653.47,83.9279,4581.9775,24313.54,3339.1899,23235.47,39.72,51700,195.2139,120.9893,
2020-09-11,9622.27,83.9481,4627.2826,24503.31,3340.97,23406.49,39.92,51660,195.2539,120.8291,
2020-09-14,9796.71,83.9602,4651.0507,24640.28,3383.54,23559.3,39.69,52020,195.3121,120.7508,
2020-09-15,9996,83.9763,4688.4826,24732.76,3401.2,23454.89,40.68,52040,195.3713,120.9879,
2020-09-16,9804.84,84.0652,4657.3584,24725.63,3385.49,23475.53,42.33,51710,195.4562,120.8924,
2020-09-17,9461.15,84.0894,4632.7142,24340.85,3357.01,23319.37,43.26,51330,195.5014,120.8595,
2020-09-18,9719.81,84.1136,4737.0887,24455.41,3319.47,23360.3,43.04,52320,195.5228,120.8561,
2020-09-21,9612.28,83.9521,4691.4281,23950.69,3281.0601,--,41.69,52160,195.6262,120.9169,
2020-09-22,9237.54,83.9683,4635.7608,23716.85,3315.5701,--,41.8,51780,195.6685,121.0251,
2020-09-23,9093.01,83.9198,4652.3273,23742.51,3236.9199,23346.49,41.51,51430,195.682,121.0217,
2020-09-24,8719.61,83.8794,4563.0657,23311.07,3246.5901,23087.82,41.48,50650,195.7095,121.0539,
2020-09-25,8890.99,83.9117,4570.0216,23235.42,3298.46,23204.62,41.79,51020,195.7578,120.8479,
2020-09-27,--,--,--,--,--,--,--,--,195.786,120.8512,
2020-09-28,8948.19,84.0248,4581.9085,23476.05,3351.6001,23511.62,42.41,51210,195.8147,120.9311,
2020-09-29,8960.78,84.0934,4591.7993,23275.53,3335.47,23539.1,40.79,50930,195.8542,120.8228,
2020-09-30,8938.84,84.0409,4587.3953,23459.05,3363,23185.12,40.95,50950,195.8549,120.6758,
2020-10-01,--,84.0359,--,--,3380.8,23184.93,40.71,--,--,--,
2020-10-02,--,84.0034,--,--,3348.4199,23029.9,38.9,--,--,--,
2020-10-05,--,84.0278,--,23767.78,3408.6001,23312.14,41.53,--,--,--,
2020-10-06,--,84.044,--,23980.65,3360.97,23433.73,41.86,--,--,--,
2020-10-07,--,84.1008,--,24242.86,3419.4399,23422.82,42.15,--,--,--,
2020-10-08,--,84.1901,--,24193.35,3446.8301,23647.07,43.33,--,--,--,
2020-10-09,9068.65,84.2144,4681.1412,24119.13,3477.1399,23619.69,42.82,51410,196.0657,120.4076,
2020-10-10,--,--,--,--,--,--,--,--,196.0058,120.407,
2020-10-12,9419.41,84.1901,4823.1578,24649.68,3534.22,23558.69,41.81,51460,196.0976,120.4797,
2020-10-13,9433.27,84.1333,4839.201,--,3511.9299,23601.78,42.47,51340,196.1321,120.4587,
2020-10-14,9308.11,84.1252,4807.1021,24667.09,3488.6699,23626.73,43.38,51500,196.1531,120.3555,
2020-10-15,9332.86,84.1333,4798.7361,24158.54,3483.3401,23507.23,43.15,51190,196.192,120.2816,
2020-10-16,9349.18,84.1576,4791.676,24386.79,3483.8101,23410.63,42.85,51470,196.2383,120.2801,
2020-10-19,9471.84,84.1049,4755.4879,24542.26,3426.9199,23671.13,42.46,51170,196.3264,120.2741,
2020-10-20,9438.36,84.1495,4793.4672,24569.54,3443.1201,23567.04,42.99,51380,196.3782,120.2991,
2020-10-21,9632.6,84.1414,4792.8284,24754.42,3435.5601,23639.46,41.71,52150,196.4445,120.3942,
2020-10-22,9522.57,84.1657,4777.9845,24786.13,3453.49,23474.27,42.36,52280,196.5463,120.5321,
2020-10-23,9415.41,84.117,4718.4881,24918.78,3465.3899,23516.59,41.2,51920,196.6018,120.3812,
2020-10-26,9441.4,84.1008,4691.2359,--,3400.97,23494.34,40.46,51790,196.6819,120.3792,
2020-10-27,9533.1,84.117,4699.2792,24787.19,3390.6799,23485.8,40.64,51610,196.7064,120.5635,
2020-10-28,9547.72,84.044,4737.2718,24708.8,3271.03,23418.51,39,51790,196.7368,120.4679,
