,000300.SH,NHCI.SL,000905.SH,CBA00601.CB,CBA02001.CB,BRN0Y.ICE
,沪深300,南华商品,中证500,中债国债总指数(总值)财富指数,中债企业债总指数(总值)财富指数,布伦特原油连续
2023/12/5,3394.2571,2502.18,5460.4088,222.0255,229.7144,77
2023/12/6,3399.598,2514.26,5481.824,222.0068,229.7025,74.28
2023/12/7,3391.2823,2517.49,5481.1355,222.062,229.7328,74.56
2023/12/8,3399.4618,2547.02,5497.9897,222.1591,229.7483,75.65
2023/12/11,3419.4548,2540.94,5564.8538,222.4004,229.8451,76.11
2023/12/12,3426.803,2552.23,5566.1778,222.421,229.8729,73.32
2023/12/13,3369.605,2489.99,5507.5128,222.679,229.9724,74.62
2023/12/14,3351.9639,2502.02,5489.3267,222.7402,230.0787,76.6
2023/12/15,3341.5517,2514.32,5449.7864,223.0577,230.2041,76.95
2023/12/18,3329.3657,2520.76,5385.2702,223.2805,230.3496,78.04
2023/12/19,3334.0412,2517.26,5379.8735,223.2779,230.4285,79.27
2023/12/20,3297.5022,2534.59,5309.2865,223.3227,230.488,79.15
2023/12/21,3330.8698,2550.83,5338.762,223.6468,230.563,79.34
2023/12/22,3337.2281,2563.48,5311.6902,223.8411,230.6921,79.19
2023/12/25,3347.4508,2546.49,5315.3746,224.2095,230.8241,--
2023/12/26,3324.7902,2554.62,5258.2841,224.2698,230.9389,81.01
2023/12/27,3336.3572,2573.14,5285.5301,224.4156,231.0948,79.34
2023/12/28,3414.5403,2556.09,5382.7966,224.4425,231.2722,78.38
2023/12/29,3431.1099,2528.38,5429.2288,224.4314,231.4551,77.08
2023/12/31,--,--,--,224.5063,231.5066,--
2024/1/2,3386.3522,2550.77,5409.4554,224.3953,231.614,76.04
2024/1/3,3378.2971,2538.56,5401.395,224.3104,231.6278,78.44
2024/1/4,3347.0519,2539.29,5355.3216,224.5493,231.7221,77.74
2024/1/5,3329.1114,2518.44,5281.8711,224.8237,231.8213,78.84
2024/1/8,3286.0564,2502.85,5167.6997,224.8908,231.9795,76.27
2024/1/9,3292.4994,2494.12,5180.653,225.248,232.1216,77.49
2024/1/10,3277.129,2491.29,5158.0784,225.1798,232.186,76.78
2024/1/11,3295.6717,2507.2,5223.8633,225.1741,232.2478,78.48
2024/1/12,3284.1667,2504.74,5206.178,225.0235,232.2846,78.32
2024/1/15,3280.9195,2493.32,5193.2956,225.0791,232.3684,78.64
2024/1/16,3300.8762,2502.56,5190.3975,225.0691,232.4162,77.9
2024/1/17,3229.082,2485.36,5061.5395,225.2415,232.4806,78.11
2024/1/18,3274.7286,2505.99,5066.9579,225.3569,232.5647,78.96
2024/1/19,3269.7763,2515.5,5018.4332,225.5417,232.648,78.63
2024/1/22,3218.9016,2508.57,4780.9748,225.9783,232.797,79.89
2024/1/23,3231.9329,2533.18,4865.743,225.9379,232.8529,79.73
2024/1/24,3277.1089,2547.32,4933.7009,225.9844,232.8971,80.23
2024/1/25,3342.9189,2549.94,5073.1779,226.1779,232.9979,82.36
2024/1/26,3333.8213,2557.8,5027.0932,226.223,233.0721,83.69
2024/1/29,3303.9604,2557.96,4927.9137,226.3798,233.1902,82.46
2024/1/30,3245.0387,2527.64,4814.9908,227.056,233.3587,82.75
2024/1/31,3215.3518,2518.66,4696.9796,227.4874,233.5435,81.71
2024/2/1,3217.7109,2507.19,4678.7308,227.4787,233.6505,78.82
2024/2/2,3179.6276,2483.15,4563.2221,227.4884,233.7278,77.67
2024/2/4,--,--,--,227.8445,233.8153,--
2024/2/5,3200.4218,2475.56,4460.2635,227.8703,233.9221,77.93
2024/2/6,3311.6922,2477.55,4805.9013,227.1954,233.9006,78.77
2024/2/7,3343.6303,2477.79,5109.5685,227.5094,233.9767,79.43
2024/2/8,3364.9297,2504.05,5150.2288,227.3998,234.0298,81.75
2024/2/9,--,--,--,227.4188,234.0631,81.86
2024/2/12,--,--,--,--,--,82.08
2024/2/13,--,--,--,--,--,82.66
2024/2/14,--,--,--,--,--,81.44
2024/2/15,--,--,--,--,--,82.85
2024/2/16,--,--,--,--,--,83.58
2024/2/18,--,--,--,227.5904,234.2288,--
2024/2/19,3403.8078,2508.11,5141.6037,227.6724,234.2705,83.35
2024/2/20,3410.8542,2494.61,5140.9575,227.9403,234.3772,82.56
2024/2/21,3456.8713,2502.37,5139.0372,227.9852,234.4612,83.16
2024/2/22,3486.6747,2516.41,5176.3431,228.1474,234.5653,83.42
2024/2/23,3489.7416,2518.02,5197.7115,228.4188,234.7014,81.58
2024/2/26,3453.3585,2489.47,5195.4642,228.7156,234.8624,82.58
2024/2/27,3494.7874,2521.86,5307.8043,228.934,234.9717,83.13
2024/2/28,3450.2598,2518.84,5184.0471,229.1875,235.0433,83.4
2024/2/29,3516.0826,2524.89,5346.7929,229.5527,235.1741,83.62
2024/3/1,3537.8038,2522.54,5379.0482,229.0357,235.1386,83.46
2024/3/4,3540.8686,2538.89,5388.82,229.285,235.2295,82.84
2024/3/5,3565.5143,2530.19,5351.8268,229.3603,235.2661,82.08
2024/3/6,3551.0481,2533.64,5350.1016,230.0564,235.3199,82.91
2024/3/7,3529.7195,2547.01,5277.2988,230.0103,235.3922,83.36
2024/3/8,3544.9099,2562.25,5349.595,229.906,235.4219,82.05
2024/3/11,3589.2635,2525.75,5441.0507,229.5808,235.5027,82.45
2024/3/12,3597.4939,2537.25,5423.7183,228.7967,235.4281,82.36
2024/3/13,3572.361,2529.81,5415.1126,228.8309,235.3461,83.95
2024/3/14,3562.2229,2538.24,5392.9267,228.7906,235.2951,85.13
2024/3/15,3569.993,2549.82,5454.1463,229.0339,235.3096,85.35
2024/3/18,3603.528,2558.1,5528.447,229.4196,235.4072,86.89
2024/3/19,3577.6303,2575.28,5478.2248,229.7288,235.4729,87.23
2024/3/20,3585.3838,2577.47,5493.414,229.5611,235.5359,86.15
2024/3/21,3581.0902,2596,5465.8286,229.6002,235.5862,85.58
2024/3/22,3545.0023,2571.76,5384.5656,229.4993,235.6452,85.56
2024/3/25,3525.7634,2564.27,5294.7463,229.3193,235.675,86.68
2024/3/26,3543.7467,2545.21,5284.4188,229.2931,235.6873,85.86
2024/3/27,3502.7866,2524.23,5156.684,229.6092,235.7354,86.34
2024/3/28,3520.9648,2530.35,5223.806,229.6709,235.8,87.5
2024/3/29,3537.4843,2534.39,5286.1612,229.9101,235.8721,--
2024/4/1,3595.6466,2554.22,5401.2249,229.6814,235.9562,87.81
2024/4/2,3580.6759,2558.69,5381.2291,229.8595,236.0373,89.27
2024/4/3,3567.8031,2571.61,5374.5954,230.1145,236.1609,89.56
2024/4/4,--,--,--,--,--,91.09
2024/4/5,--,--,--,--,--,90.86
2024/4/7,--,--,--,230.08,236.2735,--
2024/4/8,3536.4077,2609.11,5298.5912,230.2947,236.3373,90.62
2024/4/9,3533.4871,2632.88,5342.8982,230.4547,236.4785,89.59
2024/4/10,3504.7086,2640.16,5275.4727,230.2994,236.5881,90.65
2024/4/11,3504.2447,2648.37,5301.8094,230.2636,236.7001,90.2
2024/4/12,3475.8389,2667.5,5277.219,230.5201,236.8679,90.15
2024/4/15,3549.0759,2665.21,5339.7223,230.6354,237.0332,90.41
2024/4/16,3511.1146,2647.52,5191.554,230.7081,237.09,90.09
2024/4/17,3565.403,2664.98,5339.7467,230.8937,237.1941,87.42
2024/4/18,3569.8018,2668.91,5349.8361,231.1866,237.3223,86.9
2024/4/19,3541.6619,2678.67,5314.8667,231.418,237.4625,87.39
2024/4/22,3530.9045,2660.19,5267.5811,231.7051,237.659,87.15
2024/4/23,3506.2249,2641.47,5208.2712,232.0186,237.8395,88.45
2024/4/24,3521.6219,2681.32,5263.0391,231.3662,237.7749,88.08
2024/4/25,3530.2813,2677.73,5259.3354,231.3356,237.7202,89.3
2024/4/26,3584.2686,2698.94,5372.1209,230.7645,237.5962,89.33
2024/4/28,--,--,--,230.4642,237.5617,--
2024/4/29,3623.9124,2686.38,5478.4908,230.0262,237.3172,88.52
2024/4/30,3604.3943,2682.11,5441.1411,230.6464,237.4452,87.87
2024/5/1,--,--,--,--,--,83.58
2024/5/2,--,--,--,--,--,83.7
2024/5/3,--,--,--,--,--,82.78
2024/5/6,3657.8767,2688.06,5528.6036,230.6651,237.6237,83.63
2024/5/7,3659.0076,2688.36,5527.0847,230.9787,237.8212,82.98
2024/5/8,3630.2233,2658.42,5458.7559,230.9796,237.9517,83.77
2024/5/9,3664.561,2659.64,5556.7712,230.7541,237.9444,84.1
2024/5/10,3666.2771,2671.34,5535.3954,230.6634,237.9558,82.78
2024/5/11,--,--,--,230.3158,237.9336,--
2024/5/13,3664.6907,2675.91,5505.2595,231.0284,238.0596,83.45
2024/5/14,3657.0454,2663.34,5500.7379,231.2093,238.1793,82.79
2024/5/15,3626.0559,2660.37,5446.6557,231.1433,238.2471,82.9
2024/5/16,3640.3592,2687.3,5424.6652,230.9506,238.2504,83.44
2024/5/17,3677.9696,2725.16,5491.8944,230.8612,238.2378,84
2024/5/20,3690.9623,2763.94,5523.5013,231.0211,238.3424,83.71
2024/5/21,3676.1611,2758.82,5478.9131,230.9736,238.3707,82.53
2024/5/22,3684.451,2773.84,5468.6068,231.0975,238.4324,81.74
