trade_date,沪深300,中证500,中证1000,上证指数
2020-04-16,3802.3806,5316.9707,5700.9604,2819.935
2020-04-17,3839.4871,5318.4547,5710.0533,2838.4945
2020-04-20,3853.4551,5381.7857,5803.4021,2852.5528
2020-04-21,3808.0474,5343.8806,5773.0079,2827.0133
2020-04-22,3839.3834,5387.6233,5826.5596,2843.9804
2020-04-23,3829.7525,5357.7904,5789.4817,2838.4994
2020-04-24,3796.9721,5273.5474,5675.5096,2808.5293
2020-04-27,3822.769,5265.7248,5645.6565,2815.4947
2020-04-28,3849.1465,5227.846,5561.1976,2810.0243
2020-04-29,3867.032,5226.8116,5547.6279,2822.4424
2020-04-30,3912.5772,5353.8595,5678.1658,2860.0822
2020-05-06,3936.2539,5451.3159,5802.4187,2878.1402
2020-05-07,3924.8946,5445.7519,5795.872,2871.5232
2020-05-08,3963.6217,5507.6965,5862.7665,2895.3444
2020-05-11,3960.1803,5496.192,5851.8037,2894.802
2020-05-12,3960.2378,5512.464,5869.5065,2891.5564
2020-05-13,3968.2529,5536.2802,5917.0268,2898.0495
2020-05-14,3925.2177,5487.107,5863.2364,2870.3422
2020-05-15,3912.8159,5507.9336,5889.9767,2868.4587
2020-05-18,3922.9117,5478.8218,5860.0427,2875.4176
2020-05-19,3956.2495,5547.8759,5936.5992,2898.576
2020-05-20,3935.222,5489.7024,5865.8412,2883.7378
2020-05-21,3913.7949,5426.1745,5791.6402,2867.9237
2020-05-22,3824.064,5328.2268,5683.9962,2813.7654
2020-05-25,3829.3245,5316.6036,5671.9722,2817.9697
2020-05-26,3872.7701,5420.2126,5808.5486,2846.5473
2020-05-27,3845.6135,5369.4992,5772.0836,2836.8036
2020-05-28,3856.6324,5361.167,5758.9271,2846.2217
2020-05-29,3867.0232,5406.3403,5816.4003,2852.3512
2020-06-01,3971.3402,5569.48,5993.7853,2915.4311
2020-06-02,3983.5677,5566.4438,6002.8363,2921.398
2020-06-03,3983.6477,5572.3125,5994.6378,2923.3711
2020-06-04,3982.1851,5576.7535,6006.7648,2919.2506
2020-06-05,4001.2509,5585.4231,6015.3274,2930.7993
2020-06-08,4021.9549,5575.3036,6001.4315,2937.7712
2020-06-09,4047.0293,5610.3774,6042.3353,2956.1116
2020-06-10,4039.7051,5615.2417,6049.322,2943.7525
2020-06-11,3995.8846,5589.1019,6027.4085,2920.8968
2020-06-12,4003.0829,5591.4871,6031.1709,2919.7408
2020-06-15,3954.9883,5590.6435,6028.9556,2890.0306
2020-06-16,4014.5702,5695.3007,6151.6855,2931.7493
2020-06-17,4017.5941,5735.4183,6178.1413,2935.873
2020-06-18,4044.3842,5734.403,6149.2892,2939.3151
2020-06-19,4098.7095,5787.1482,6187.1082,2967.6341
2020-06-22,4102.0459,5784.0269,6228.0162,2965.2717
2020-06-23,4121.7944,5804.343,6238.8971,2970.6203
2020-06-24,4138.9895,5789.0893,6227.5693,2979.5505
2020-06-29,4109.7164,5762.4378,6211.3813,2961.5164
2020-06-30,4163.9637,5864.4164,6319.5558,2984.6741
2020-07-01,4247.7835,5881.8875,6339.3685,3025.981
2020-07-02,4335.8445,5975.2794,6413.952,3090.5693
2020-07-03,4419.5955,6051.5099,6478.3539,3152.8126
2020-07-06,4670.0949,6299.8551,6725.9962,3332.8807
2020-07-07,4698.1264,6380.0276,6817.865,3345.3369
2020-07-08,4774.0042,6535.4151,6973.9967,3403.4401
2020-07-09,4840.7712,6693.7452,7182.1769,3450.5935
2020-07-10,4753.1333,6676.4373,7150.4243,3383.3222
2020-07-13,4852.9612,6899.5175,7403.0857,3443.2863
2020-07-14,4806.6902,6807.727,7344.9876,3414.6186
2020-07-15,4744.4687,6638.8384,7131.4636,3361.3044
2020-07-16,4516.2532,6319.9981,6758.1403,3210.0986
2020-07-17,4544.7007,6344.5912,6772.5322,3214.1287
2020-07-20,4680.3046,6526.8325,7003.6672,3314.149
2020-07-21,4691.0425,6563.3239,7058.7908,3320.8947
2020-07-22,4714.4454,6620.6893,7125.5686,3333.1635
2020-07-23,4712.4357,6620.0859,7119.6711,3325.1102
