ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
000529.SZ,20150105,27836,2557.45,28284,2600.78,34920,3210.57,36631,3369.21,18305,1683.24,14763,1354.25,0,0.0,1382,127.02,-1898,-168.99
000530.SZ,20150105,29711,3366.83,30261,3440.4,28906,3281.93,29007,3296.41,14351,1636.24,13792,1558.6,104,11.74,12,1.35,2213,265.23
000531.SZ,20150105,30975,4125.33,25467,3397.52,39200,5225.67,30640,4085.65,20105,2676.92,29764,3959.79,3641,483.8,8051,1068.77,-5750,-755.72
000532.SZ,20150105,31810,4472.93,20512,2892.3,33049,4645.44,27877,3923.99,9952,1399.07,22983,3219.91,1014,142.63,4453,623.87,-8815,-1236.57
000534.SZ,20150105,26541,2043.72,27408,2114.26,20840,1607.88,20152,1555.63,9153,710.24,9062,698.74,2213,170.18,2124,163.39,-3166,-242.08
000536.SZ,20150105,42166,6509.46,36384,5616.9,36461,5620.42,33145,5113.96,16516,2555.53,23049,3560.2,1723,263.0,4288,657.35,5007,786.37
000537.SZ,20150105,163219,14765.21,155567,14082.51,265618,24017.02,256748,23249.47,207676,18808.25,221162,20047.44,63779,5855.85,66816,6066.91,5809,555.75
000538.SZ,20150105,35229,22676.46,36076,23253.06,59123,38060.31,61051,39334.05,61091,39302.36,67286,43306.94,43026,27838.42,34057,21983.5,15340,10053.82
000539.SZ,20150105,122314,9842.8,125629,10112.11,161693,13019.51,163261,13146.87,108545,8737.34,105245,8470.03,28573,2302.28,26989,2172.91,15091,1230.02
000540.SZ,20150105,229896,27953.43,204543,24910.44,303866,36998.44,289009,35227.42,276589,33763.5,308308,37587.4,125497,15397.05,133988,16387.17,-67095,-8108.56
000541.SZ,20150105,46462,4818.66,58589,6078.49,44765,4641.3,46484,4821.87,24921,2586.47,15873,1645.81,7444,773.44,2646,273.69,7275,759.02
000543.SZ,20150105,77578,10153.4,87361,11449.57,121509,15904.76,123740,16203.45,114968,15038.91,107862,14114.5,49982,6562.31,45073,5891.86,-3424,-388.98
000545.SZ,20150105,5649,763.02,6229,844.0,11541,1559.32,10108,1372.24,12470,1685.17,12750,1727.94,5500,756.63,6073,819.97,5296,738.57
000546.SZ,20150105,8860,685.73,8841,684.77,7050,545.96,6298,487.41,4482,346.02,2831,218.39,78,6.03,2499,193.17,1339,104.4
000547.SZ,20150105,82743,10982.33,61450,8173.82,80945,10751.81,72497,9634.96,76766,10202.94,87872,11649.79,12121,1603.4,30757,4081.9,-41205,-5457.04
000548.SZ,20150105,42475,3366.82,46124,3665.4,47530,3770.49,52208,4144.45,32039,2544.62,26983,2134.33,4576,366.09,1306,103.84,1433,126.83
000550.SZ,20150105,19989,6445.14,20582,6656.23,16623,5399.07,19987,6474.95,16700,5398.17,15033,4851.93,4743,1533.64,2454,792.91,19318,6214.86
000551.SZ,20150105,31785,3177.99,22055,2203.18,44955,4496.45,28165,2814.52,46834,4687.98,37306,3733.24,5852,585.15,41900,4196.63,29805,2992.21
000552.SZ,20150105,106896,11573.33,138998,15064.09,126476,13691.79,139790,15154.39,109333,11842.4,89106,9679.51,37278,4101.65,12088,1311.17,23119,2433.12
000553.SZ,20150105,57999,8051.47,56707,7877.28,69813,9690.98,81915,11370.95,46516,6460.2,39381,5468.54,9411,1309.37,5736,795.25,14329,1999.93
000554.SZ,20150105,103131,9396.45,126903,11548.88,113317,10273.82,131127,11876.82,82355,7453.08,78968,7148.19,47049,4253.38,8853,802.84,61133,5538.01
000555.SZ,20150105,7850,2858.31,8335,3033.8,5959,2173.48,4141,1509.17,3751,1368.65,3119,1139.96,3561,1303.92,5525,2021.42,199,81.91
000557.SZ,20150105,7402,444.1,2401,144.05,4156,249.38,5478,328.68,1428,85.68,2776,166.57,0,0.0,2331,139.86,8408,504.48
000559.SZ,20150105,255997,31605.95,269259,33250.71,209759,25889.45,224711,27742.74,145349,17938.98,144873,17875.34,55599,6869.82,27860,3435.4,58074,7191.05
000560.SZ,20150105,4000,672.23,2414,406.53,5859,983.54,4814,809.18,1859,311.06,4491,751.12,0,0.0,0,0.0,-2544,-424.67
000561.SZ,20150105,20713,1823.11,19119,1685.39,14467,1275.22,16220,1429.03,6099,538.19,5347,469.69,0,0.0,593,52.42,-22,1.19
