,EW,EV,MV,MD,RP,PCRP,HPCRP
2009-01-26,0.9832556507695507,0.9800504098814432,0.9832556507695507,1.0022768417569792,0.9817947838578759,1.0915660455481384,1.0917210868723584
2009-01-27,0.9847522410692586,0.9815971256117547,0.9847522410692586,1.0058425582358466,0.9837272295368321,1.0918865479901845,1.0922934477117994
2009-01-28,1.000811357707978,0.9999328064500316,1.000811357707978,1.0288086424881095,1.0028661573870221,1.0936014044882987,1.0947906950204394
2009-01-29,0.9976583048180023,0.9935297414036582,0.9976583048180023,1.0136717021325004,0.9946364842050789,1.0936044619516256,1.0929846102981144
2009-01-30,0.9924352649838235,0.9867807124083132,0.9924352649838235,1.0035692654997541,0.9870757944440232,1.093197146680643,1.091636926713479
2009-02-02,0.9898926940010763,0.9842188749014263,0.9898926940010763,1.0156211066718122,0.9857216478065646,1.1038047301081566,1.1013603300634365
2009-02-03,1.0062734145022962,1.000569692221786,1.0062734145022962,1.0309489127370985,1.002213933731185,1.1305831413761398,1.1283416852526518
2009-02-04,1.0280235487059592,1.0213364112721175,1.0280235487059592,1.0468846279613586,1.021871301397408,1.160312820291697,1.1598725570590989
2009-02-05,1.032248418207215,1.0253050477021648,1.032248418207215,1.0494815236898167,1.0260352983623184,1.1544068598455584,1.154398042745813
2009-02-06,1.0659154305710563,1.0576890064943378,1.0659154305710563,1.0832083225875462,1.0583623115173881,1.1993951530706075,1.200431043666922
2009-02-09,1.0801656735566683,1.070796175722727,1.0801656735566683,1.0968249707525837,1.0712749291264585,1.2290052672126786,1.228754601696895
2009-02-10,1.0738927027092937,1.0619747242889757,1.0738927027092937,1.0901705215976065,1.0611894713377505,1.2415485253331369,1.2407420006569567
2009-02-11,1.0685829331124665,1.0572093500946587,1.0685829331124665,1.0825696537344827,1.056968976393659,1.243092442276097,1.2435663445840686
2009-02-12,1.0588444070015495,1.0474655814966796,1.0588444070015495,1.0852413410233115,1.0484772098850748,1.2355623606034312,1.2369648007189322
2009-02-13,1.0769263128174729,1.063335318229569,1.0769263128174729,1.1001998411825153,1.0634956923922125,1.2755703944064485,1.2764884939233256
2009-02-16,1.0819719397781995,1.0669852260982307,1.0819719397781995,1.102627638284606,1.067145473258157,1.3060132529963577,1.308762364296178
2009-02-17,1.0428192741681623,1.0290103223595557,1.0428192741681623,1.0610421455017278,1.0288875138308924,1.264061450032087,1.2649534573797394
2009-02-18,1.0254490863032935,1.012966345634538,1.0254490863032935,1.0471357471469465,1.0130456999626494,1.2107678312692562,1.2103507425831537
2009-02-19,1.0282440632774117,1.0149700408612237,1.0282440632774117,1.0476413272707417,1.0144945056245274,1.2216422296337157,1.2182884745312974
2009-02-20,1.0192027427010644,1.0038990028251145,1.0192027427010644,1.0459502909034797,1.0043135859250698,1.2417718103651305,1.2381761613625761
2009-02-23,1.026902074427971,1.0082162315946335,1.026902074427971,1.043521155162465,1.0068459683911095,1.2735493559132123,1.268227548690692
2009-02-24,1.0095896064992829,0.993726059598413,1.0095896064992829,1.0405926811455066,0.994716332152966,1.2211050821137632,1.2143834814987322
2009-02-25,1.0098957644992999,0.9930993986968727,1.0098957644992999,1.0386837026561178,0.9934508720438612,1.222656493537203,1.2192748963496622
2009-02-26,0.9875067892371924,0.9741143181085746,0.9875067892371924,1.0055202101934144,0.9737085754136484,1.1659403352155862,1.1654008206527628
2009-02-27,0.9685717792663436,0.9560265356168132,0.9685717792663436,0.9817391525956821,0.955365232084123,1.139807976378569,1.1402537755347604
2009-03-02,0.946835478917464,0.9327421180248205,0.946835478917464,0.9620190118429791,0.9320178406224106,1.1470671637940464,1.146997956968844
2009-03-03,0.9381408913992525,0.9234741486899674,0.9381408913992525,0.9596788204153708,0.923187172798945,1.1353794352158297,1.1350745459165765
2009-03-04,0.9831978045902845,0.9671111432891133,0.9831978045902845,0.9999400662571765,0.9661084857630322,1.2083477764091815,1.2082657377443797
2009-03-05,0.966308330576498,0.9479277429290718,0.966308330576498,0.9774859609279669,0.9461615393971234,1.2152440681405692,1.2161099628106973
2009-03-06,0.9596667202415438,0.9420542402949741,0.9596667202415438,0.9724629720924598,0.9406968064953762,1.2058073213714644,1.2077243741889152
2009-03-09,0.9380673779976543,0.9222408159584963,0.9380673779976543,0.9447844452185737,0.920866145105299,1.1645119368616477,1.165325127115187
2009-03-10,0.9738835257734916,0.9594354145809496,0.9738835257734916,0.9921078251914678,0.9591689382640599,1.1874253268671806,1.1897361608041974
2009-03-11,0.9756678456607878,0.9609803335196216,0.9756678456607878,0.995722693748111,0.9606344251278278,1.1781461531944872,1.180355156407362
2009-03-12,0.984563894758894,0.9707215683017333,0.984563894758894,1.0133789189838969,0.9716678095675059,1.1773311315575394,1.1812669852929922
2009-03-13,0.9927963478174796,0.9778961365417344,0.9927963478174796,1.0151227233712667,0.9781227498503914,1.174536057702529,1.1771052124471548
2009-03-16,1.0086640891686929,0.9924043511730417,1.0086640891686929,1.0154536177773614,0.990997212516415,1.1943075978906346,1.196237964794503
2009-03-17,1.027879107628451,1.0111451661624233,1.027879107628451,1.0475332195235971,1.011269040634683,1.234567914015781,1.23703765394963
2009-03-18,1.0359690166277693,1.018289053546686,1.0359690166277693,1.0595092243001918,1.0189056550420323,1.2407193389847606,1.2424318926287063
2009-03-19,1.0452071559890503,1.026593343528341,1.0452071559890503,1.0670191186782365,1.0266285895182874,1.2651022932729348,1.2641843930281853
2009-03-20,1.0376351870059406,1.0203264201017572,1.0376351870059406,1.0586910016220108,1.0201332321045522,1.2619346726776202,1.2595006869944452
2009-03-23,1.078098148847553,1.059723414787597,1.078098148847553,1.1024341751696023,1.0604496191800938,1.2969324194989942,1.2928980174788387
2009-03-24,1.0800062286542973,1.0602934507758974,1.0800062286542973,1.0969016742626774,1.05969853062283,1.3023534591947539,1.2993516595676053
2009-03-25,1.0714130483099698,1.053517418580223,1.0714130483099698,1.090886321744232,1.0535367910351228,1.2776393278129399,1.2759931120254635
2009-03-26,1.1003338131356324,1.07958314525557,1.1003338131356324,1.1167653679703173,1.0794410505817207,1.3196311030112544,1.3156096531193189
2009-03-27,1.0943886292417433,1.0724898348248637,1.0943886292417433,1.104610417390654,1.0715517084430948,1.3278791912236882,1.3217961433828405
2009-03-30,1.0620859568558596,1.0403742549532882,1.0620859568558596,1.0792651164005862,1.040149592236044,1.315634144034505,1.3130826729145637
2009-03-31,1.0810381309040753,1.0596213288642076,1.0810381309040753,1.1002912804135487,1.059350876410274,1.3271233159516818,1.3247352438857098
2009-04-01,1.0919784888217594,1.0704968005942999,1.0919784888217594,1.1125117152264652,1.070578224751185,1.3467747030001276,1.3438924567278414
2009-04-02,1.1325230409147704,1.1103392381274073,1.1325230409147704,1.1469755500835825,1.1095899583410023,1.36624164972977,1.3624868092861655
2009-04-03,1.1303405850491486,1.1077020800136548,1.1303405850491486,1.1427217435337174,1.1072175874352097,1.366855126889582,1.3636748670658796
2009-04-06,1.131719744097926,1.107646019007528,1.131719744097926,1.1391680879675994,1.1064318888468945,1.3665721402321047,1.3637967764825478
2009-04-07,1.1236967691897872,1.0993782234028036,1.1236967691897872,1.1296348723545337,1.0975852119705922,1.3679101781744942,1.3651629686342166
