trade_date,exchange_id,rzye,rzmre,rzche,rqye,rqmcl,rzrqye,rqyl
2017-09-13,SZSE,399682671588.0,27438304638.0,26357625210.0,1122020367.0,21459467.0,400804691955.0,
2017-09-14,SSE,579539655735.0,32442812362.0,30245018179.0,3846801704.0,82227079.0,583386457439.0,
2017-09-14,SZSE,400455265667.0,28907468445.0,28134874366.0,1084852497.0,20873594.0,401540118164.0,
2017-09-15,SZSE,400280335840.0,27888800580.0,28063730407.0,1032059266.0,19595383.0,401312395106.0,
2017-09-15,SSE,578583374441.0,30565680178.0,31521961472.0,3561335007.0,57302273.0,582144709448.0,
2017-09-18,SZSE,401981639457.0,25563234574.0,23861930957.0,1034348521.0,18357300.0,403015987978.0,
2017-09-18,SSE,582455107684.0,28778714421.0,24906981178.0,3533098118.0,60464372.0,585988205802.0,
2017-09-19,SSE,583732774712.0,28638406338.0,27360739310.0,3612825172.0,72239527.0,587345599884.0,
2017-09-19,SZSE,403607658477.0,27487191489.0,25861172469.0,1015902746.0,15249832.0,404623561223.0,
2017-09-20,SZSE,406034655275.0,28146089892.0,25719093094.0,1022416568.0,17768247.0,407057071843.0,
2017-09-20,SSE,587035104718.0,29680262317.0,26377932311.0,3569458018.0,63043990.0,590604562736.0,
2017-09-21,SZSE,404268011840.0,27019534695.0,28786178130.0,1021627268.0,17539568.0,405289639108.0,
2017-09-21,SSE,586141235549.0,28857980931.0,29751850100.0,3735971641.0,116527478.0,589877207190.0,
2017-09-22,SZSE,403655729725.0,22771276643.0,23383558758.0,960586787.0,15372957.0,404616316512.0,
2017-09-22,SSE,583454267943.0,24426309561.0,27113277167.0,3489006367.0,69237805.0,586943274310.0,
2017-09-25,SSE,581184044380.0,22333478459.0,24603702022.0,3531429126.0,68455185.0,584715473506.0,
2017-09-25,SZSE,403360937684.0,21975241895.0,22270033936.0,976231723.0,16132922.0,404337169407.0,
2017-09-26,SZSE,403729953087.0,20174851627.0,19805836224.0,906457299.0,15054722.0,404636410386.0,
2017-09-26,SSE,579908899222.0,17279179734.0,18554324892.0,3618066101.0,83655178.0,583526965323.0,
2017-09-27,SSE,579523451666.0,20346208626.0,20731656182.0,3449274798.0,63125694.0,582972726464.0,
2017-09-27,SZSE,403349041270.0,21322385723.0,21703297540.0,906128321.0,12730343.0,404255169591.0,
