,RiskParity,Momentum_k0.1,Momentum_k0.5,Momentum_k1.0,Momentum_k1.5,Momentum_k2.0
2019-04-08,0.008796821793416464,0.008713745887267364,0.008713745887267517,0.008713745887267517,0.008713745887267534,0.00871374588726751
2019-04-09,-0.003797468354430295,-0.003763525801805038,-0.0037635258018052014,-0.0037635258018052,-0.003763525801805211,-0.0037635258018051936
2019-04-10,0.010447550472963316,0.010363117169154779,0.010363117169155016,0.010363117169155013,0.010363117169155037,0.010363117169155008
2019-04-11,-0.00824367751851321,-0.008228262126918568,-0.008228262126918434,-0.008228262126918429,-0.008228262126918441,-0.008228262126918427
2019-04-12,0.008030431107354017,0.007949927799033078,0.007949927799033219,0.007949927799033222,0.007949927799033236,0.007949927799033219
2019-04-15,-0.003494060097833717,-0.0034649422966297407,-0.003464942296629793,-0.0034649422966297897,-0.0034649422966298,-0.0034649422966297866
2019-04-16,0.00785413744740529,0.007842497775128224,0.007842497775127993,0.007842497775127992,0.007842497775128,0.007842497775127988
2019-04-17,-0.0030615084887281106,-0.003041521086377781,-0.0030415210863778586,-0.0030415210863778577,-0.0030415210863778647,-0.0030415210863778564
2019-04-18,0.00516471245114468,0.005093543121235307,0.005093543121235548,0.005093543121235545,0.005093543121235561,0.005093543121235544
2019-04-23,0.0014814814814814114,0.0014480821339559581,0.001448082133955998,0.001448082133956,0.0014480821339560026,0.0014480821339559985
2019-04-24,0.0016137708445400525,0.0015885468966780974,0.0015885468966781787,0.001588546896678175,0.0015885468966781824,0.0015885468966781733
2019-04-25,-0.00201396348012897,-0.0020376506191469145,-0.0020376506191466634,-0.002037650619146658,-0.002037650619146661,-0.002037650619146654
2019-04-26,-0.037131709942149975,-0.036819779583023515,-0.036819779583024216,-0.036819779583024216,-0.036819779583024285,-0.036819779583024195
2019-05-07,-0.01563820794590021,-0.015511338724962813,-0.015511338724963257,-0.015511338724963259,-0.015511338724963289,-0.01551133872496325
2019-05-08,0.006440532417346432,0.006376378370600596,0.006376378370601072,0.006376378370601064,0.006376378370601089,0.00637637837060106
2019-05-09,-5.2992022720183514e-17,-7.134370238583951e-05,-7.134370238534305e-05,-7.134370238535032e-05,-7.134370238533528e-05,-7.134370238534799e-05
2019-05-10,0.007679180887372209,0.0076755585991185515,0.007675558599118282,0.007675558599118273,0.007675558599118285,0.007675558599118271
2019-05-14,0.01486776268763389,0.014731107584949542,0.014731107584950127,0.01473110758495012,0.01473110758495016,0.014731107584950115
2019-05-15,0.013523031412875156,0.013443047753216633,0.01344304775321663,0.01344304775321663,0.01344304775321665,0.013443047753216622
2019-05-16,0.011396803335649758,0.011324560669605077,0.011324560669605301,0.011324560669605297,0.011324560669605323,0.011324560669605294
2019-05-17,-0.0082451559708671,-0.008243832039368017,-0.008243832039367849,-0.008243832039367844,-0.008243832039367856,-0.008243832039367838
2019-05-20,-0.0015241790217541988,-0.0015563321484323303,-0.0015563321484322243,-0.001556332148432222,-0.0015563321484322232,-0.0015563321484322204
2019-05-21,-0.00027754648903688004,-0.0002490743054695351,-0.00024907430546960735,-0.0002490743054696146,-0.00024907430546961267,-0.00024907430546961283
2019-05-22,-0.01568573014991681,-0.015561748695621738,-0.01556174869562206,-0.015561748695622057,-0.015561748695622088,-0.015561748695622057
2019-05-23,-0.04103793541108452,-0.04074753548381409,-0.0407475354838146,-0.040747535483814594,-0.04074753548381466,-0.04074753548381457
2019-05-24,0.018529411764705912,0.018381299427754235,0.018381299427754575,0.01838129942775458,0.018381299427754613,0.018381299427754575
2019-05-28,0.0021425510641335257,0.0021340807872798455,0.002134080787279741,0.002134080787279741,0.0021340807872797427,0.0021340807872797375
2019-05-29,-0.005986316989737738,-0.005951719705583923,-0.005951719705583921,-0.005951719705583927,-0.005951719705583931,-0.005951719705583926
2019-05-30,-0.044307427588184525,-0.043936712507567116,-0.043936712507567956,-0.04393671250756796,-0.04393671250756804,-0.04393671250756794
2019-05-31,-0.032708177044261245,-0.004142011471248503,-0.0041420114712484996,-0.004142011471248511,-0.004142011471248511,-0.004142011471248502
2019-06-03,-0.05537459283387625,0.0005765034718493777,0.0005765034718493912,0.0005765034718493699,0.0005765034718493823,0.0005765034718493811
2019-06-04,0.008210180623973863,-0.009122586038011686,-0.009122586038011683,-0.00912258603801168,-0.009122586038011707,-0.009122586038011691
2019-06-05,-0.014657980456026043,-0.00032590294315730436,-0.0003259029431572944,-0.0003259029431573057,-0.00032590294315731016,-0.00032590294315730647
2019-06-06,0.02859504132231393,-0.008926133616927331,-0.008926133616927337,-0.008926133616927324,-0.008926133616927347,-0.008926133616927331
2019-06-10,-0.01454775458570522,0.01282345156769907,0.01282345156769907,0.012823451567699063,0.012823451567699094,0.012823451567699071
2019-06-11,-0.004172015404364499,0.029815547159346898,0.029815547159346888,0.029815547159346874,0.02981554715934694,0.029815547159346884
2019-06-12,-0.036738640025781547,-0.007533699893619839,-0.007533699893619823,-0.007533699893619841,-0.0075336998936198505,-0.007533699893619839
2019-06-13,0.026262964202074194,-0.0015105574792621096,-0.0015105574792621142,-0.0015105574792621088,-0.001510557479262118,-0.0015105574792621142
2019-06-14,0.011246943765281124,-0.008169460018724792,-0.008169460018724782,-0.008169460018724787,-0.00816946001872481,-0.008169460018724792
