trade_date,code,close,open,high,low,volume,sec_name
2021-02-26,801720.SI,1954.91,1950.27,1966.58,1950.27,2157120000.0,建筑装饰(申万)
2021-02-26,801150.SI,11946.8,11908.9,12139.6,11817.5,2364460000.0,医药生物(申万)
2021-02-26,801110.SI,9730.02,9681.2,9851.37,9651.26,714970000.0,家用电器(申万)
2021-02-26,801080.SI,4636.48,4603.17,4690.67,4603.17,4258370000.0,电子(申万)
2021-02-26,801760.SI,704.2,702.51,711.4,702.21,2497790000.0,传媒(申万)
2021-02-26,801740.SI,1572.76,1590.22,1611.51,1568.14,942893000.0,国防军工(申万)
2021-02-26,801210.SI,13305.0,13255.0,13556.0,13150.2,341728000.0,社会服务(申万)
2021-02-26,801040.SI,2426.81,2420.44,2471.99,2419.59,3337100000.0,钢铁(申万)
2021-02-26,801170.SI,2404.72,2399.43,2422.57,2389.57,1930340000.0,交通运输(申万)
2021-02-26,801230.SI,2306.72,2319.34,2343.03,2306.72,381556000.0,综合(申万)
2021-02-26,801020.SI,2487.74,2505.89,2529.5,2481.63,1964960000.0,采掘(申万)(退市)
2021-02-26,801790.SI,2125.11,2133.46,2154.16,2125.11,2833970000.0,非银金融(申万)
2021-02-26,801880.SI,5551.46,5522.12,5608.43,5497.48,2319520000.0,汽车(申万)
2021-02-26,801120.SI,27712.4,27623.5,28171.8,27117.0,934999000.0,食品饮料(申万)
2021-02-26,801730.SI,8424.94,8306.65,8504.54,8288.84,2681310000.0,电力设备(申万)
2021-02-26,801200.SI,3069.46,3066.29,3086.7,3059.7,996679000.0,商贸零售(申万)
2021-02-26,801030.SI,4058.78,4049.64,4122.18,4032.95,6764120000.0,基础化工(申万)
2021-02-26,801180.SI,3933.24,3945.57,4007.03,3900.12,3801590000.0,房地产(申万)
2021-02-26,801750.SI,4797.51,4745.39,4819.09,4745.39,2303630000.0,计算机(申万)
2021-02-26,801010.SI,4251.73,4267.69,4329.21,4217.55,1943090000.0,农林牧渔(申万)
2021-02-26,801140.SI,2721.89,2720.42,2759.05,2708.32,1586330000.0,轻工制造(申万)
2021-02-26,801710.SI,8202.96,8192.28,8299.96,8159.56,828471000.0,建筑材料(申万)
2021-02-26,801050.SI,4538.78,4514.59,4644.8,4514.59,6845980000.0,有色金属(申万)
2021-02-26,801160.SI,1937.7,1918.18,1945.69,1918.18,2908090000.0,公用事业(申万)
2021-02-26,801770.SI,1985.93,1962.61,2003.31,1962.56,1126930000.0,通信(申万)
2021-02-26,801780.SI,4035.38,4134.99,4172.88,4023.92,3956950000.0,银行(申万)
2021-02-26,801890.SI,1580.56,1569.06,1597.21,1569.06,3795300000.0,机械设备(申万)
2021-03-01,801130.SI,1753.77,1720.16,1753.77,1719.97,717171000.0,纺织服饰(申万)
2021-03-01,801720.SI,1983.52,1964.66,1983.52,1960.17,2025930000.0,建筑装饰(申万)
2021-03-01,801150.SI,12118.5,12064.7,12124.2,11911.8,2398810000.0,医药生物(申万)
2021-03-01,801110.SI,9866.25,9762.52,9931.55,9750.67,672669000.0,家用电器(申万)
2021-03-01,801080.SI,4790.95,4691.59,4791.79,4691.44,4355720000.0,电子(申万)
2021-03-01,801760.SI,724.22,709.8,724.28,709.77,2670750000.0,传媒(申万)
2021-03-01,801740.SI,1603.49,1579.0,1603.49,1566.9,833072000.0,国防军工(申万)
2021-03-01,801210.SI,13906.3,13535.1,13944.5,13535.1,395603000.0,社会服务(申万)
2021-03-01,801040.SI,2522.74,2423.2,2525.78,2423.2,3776580000.0,钢铁(申万)
2021-03-01,801170.SI,2416.59,2408.69,2417.48,2398.99,1783420000.0,交通运输(申万)
2021-03-01,801230.SI,2323.44,2319.72,2330.46,2310.23,335233000.0,综合(申万)
2021-03-01,801020.SI,2536.81,2501.03,2538.12,2495.76,1834410000.0,采掘(申万)(退市)
2021-03-01,801790.SI,2113.66,2129.74,2129.74,2094.35,2721600000.0,非银金融(申万)
2021-03-01,801880.SI,5696.2,5581.19,5696.2,5547.33,2206600000.0,汽车(申万)
2021-03-01,801120.SI,28056.1,28160.0,28310.2,27669.8,864015000.0,食品饮料(申万)
2021-03-01,801730.SI,8747.13,8588.39,8776.99,8579.05,2654070000.0,电力设备(申万)
2021-03-01,801200.SI,3128.59,3098.13,3128.59,3098.07,996089000.0,商贸零售(申万)
2021-03-01,801030.SI,4181.4,4095.82,4183.69,4095.7,7276560000.0,基础化工(申万)
2021-03-01,801180.SI,3971.08,3941.42,3994.82,3894.97,2646400000.0,房地产(申万)
2021-03-01,801750.SI,4903.93,4836.32,4905.63,4836.32,2408050000.0,计算机(申万)
2021-03-01,801010.SI,4331.47,4284.43,4340.59,4274.24,1704770000.0,农林牧渔(申万)
2021-03-01,801140.SI,2785.21,2741.57,2785.66,2741.33,1778050000.0,轻工制造(申万)
2021-03-01,801710.SI,8383.82,8272.42,8406.87,8272.37,848303000.0,建筑材料(申万)
2021-03-01,801050.SI,4695.55,4566.34,4697.41,4537.7,6651580000.0,有色金属(申万)
2021-03-01,801160.SI,1957.02,1947.83,1957.41,1947.72,2860650000.0,公用事业(申万)
2021-03-01,801770.SI,2020.96,1995.48,2021.19,1991.61,1324980000.0,通信(申万)
2021-03-01,801780.SI,4031.41,4050.36,4054.52,4013.75,2481370000.0,银行(申万)
2021-03-01,801890.SI,1644.09,1593.79,1644.09,1593.14,4194100000.0,机械设备(申万)
2021-03-02,801130.SI,1746.46,1756.11,1764.24,1737.06,751401000.0,纺织服饰(申万)
2021-03-02,801720.SI,1961.58,1986.85,1987.94,1954.33,2043130000.0,建筑装饰(申万)
2021-03-02,801150.SI,11897.7,12172.5,12172.5,11811.6,2413930000.0,医药生物(申万)
2021-03-02,801110.SI,9882.09,9983.04,10065.2,9811.3,695042000.0,家用电器(申万)
2021-03-02,801080.SI,4816.52,4820.46,4855.29,4767.32,4307380000.0,电子(申万)
2021-03-02,801760.SI,713.63,725.43,725.43,708.02,2479840000.0,传媒(申万)
2021-03-02,801740.SI,1616.44,1615.42,1619.94,1579.66,980711000.0,国防军工(申万)
2021-03-02,801210.SI,13727.2,14182.5,14255.5,13468.8,385619000.0,社会服务(申万)
2021-03-02,801040.SI,2504.5,2557.84,2582.87,2492.82,4900850000.0,钢铁(申万)
2021-03-02,801170.SI,2381.56,2427.28,2427.28,2369.66,1768620000.0,交通运输(申万)
2021-03-02,801230.SI,2281.53,2331.34,2332.28,2269.87,428361000.0,综合(申万)
2021-03-02,801020.SI,2531.31,2541.33,2583.65,2510.61,2296290000.0,采掘(申万)(退市)
2021-03-02,801790.SI,2087.96,2115.89,2119.07,2079.0,2534850000.0,非银金融(申万)
2021-03-02,801880.SI,5694.34,5736.25,5736.25,5626.06,2054630000.0,汽车(申万)
2021-03-02,801120.SI,27195.7,28316.5,28360.6,26921.0,1053360000.0,食品饮料(申万)
2021-03-02,801730.SI,8783.77,8859.38,8910.72,8643.4,3314410000.0,电力设备(申万)
2021-03-02,801200.SI,3110.7,3143.42,3143.51,3100.78,1143280000.0,商贸零售(申万)
2021-03-02,801030.SI,4095.33,4194.63,4194.66,4061.6,7080160000.0,基础化工(申万)
2021-03-02,801180.SI,3942.3,3964.51,4052.6,3938.26,2498960000.0,房地产(申万)
2021-03-02,801750.SI,4865.11,4920.35,4924.76,4829.43,2330710000.0,计算机(申万)
2021-03-02,801010.SI,4291.83,4351.03,4351.04,4250.73,1503780000.0,农林牧渔(申万)
2021-03-02,801140.SI,2764.31,2793.1,2793.12,2739.97,1704230000.0,轻工制造(申万)
2021-03-02,801710.SI,8421.17,8439.1,8519.47,8362.0,1021390000.0,建筑材料(申万)
2021-03-02,801050.SI,4541.43,4680.85,4680.86,4505.02,7497600000.0,有色金属(申万)
2021-03-02,801160.SI,1992.77,1964.35,1997.5,1964.35,4242410000.0,公用事业(申万)
2021-03-02,801770.SI,2011.11,2024.02,2026.81,1998.4,1096220000.0,通信(申万)
2021-03-02,801780.SI,3997.51,4049.89,4062.42,3962.42,2749190000.0,银行(申万)
